sentence,log,label
最初に全体の共起ネットワーク(図1)を示す.,共起ネットワーク(),1
"品詞を限定せず共起関係を測定し,2010年度と2017年度の共起ネットワーク図を作成した.共起ネットワーク図の作成条件を最小出現数2,描画数60とした.","共起ネットワーク(語の最小出現数=2, 上位=60)",1
4つの視点による全コメントをKHCoderにより多変量解析を行い、3回以上データに出現していた頻出語から共起ネットワークを作成したものが図7である。,共起ネットワーク(語の最小出現数=3),1
"この図5は,2回以上出現した単語の相関を示した共起ネットワークである。今回は,単語同士の相関を見やすくするため相関が強いものをKHCoderが整理しまとめた最小スパニング・ツリーだけを描画した。","共起ネットワーク(語の最小出現数=2, 最小スパニングツリーだけを描画=on)",1
"抽出語間の関連性を探索するために,表3に示した抽出語間の関連を分析するために,共起ネットワーク分析を行なった。図2に得られた共起ネットワーク図を示す。",共起ネットワーク(),1
"就学前施設における保育者が自然災害発生に対して抱く不安の全体傾向を把握するために、「共起ネットワーク」による分析を行なった.図1は最小出現数10語以上,描画する共起関係の数を上位60以上に設定して描いた共起ネットワーク図である.","共起ネットワーク(語の最小出現数=10, 上位=60)",1
"ここでは,感想文集に掲載されている実習生による体験記述,3年生18名(男子10名・女子8名)をもとに,KHCoderを用いたテキストマイニングソフトによる内容分析を行った。抽出語から言葉同士の関係を探るために,共起ネットワーク9)を使用した。",共起ネットワーク(),1
"「ねらい」「成果」「課題」の各文書で抽出した語,抽出語の特徴的なつながりを示すため,共起ネットワークを作成した。間の関連性,共起関係の強弱を測る尺度してJaccard係数を適用した。単語抽出語間の線の分布が複雑になりすぎないよう,使用する語数を出現回数によって調整した。Table3の上位50語にほぼ相当するよう,「ねらい」は最小出現数7以上,「成果」は9以上,「課題」は7以上の抽出語を用いた。","共起ネットワーク(語の最小出現数=7, 描画する共起関係の選択=Jaccard係数)",1
"共起ネットワークを作図したところ,「患者」「感じる」「医療」など一般的な語句が出現し特徴が読み取れなかった(Figure1).",共起ネットワーク(),1
"設問2,3,4において,個人活動への言及と考えられる記述,グループ活動への言及と考えられる記述をそれぞれ抽出し,言及における特徴を検討する.総抽出語数は2288,異なり語数は329であった.記述に対し,個人への言及を1,グループへの言及を0としてダミー変数を導入し,外部変数として利用した.語の最小出現数は3として共起ネットワークを作成した.結果を図4に示す.","共起ネットワーク(語の最小出現数=3, 外部変数=個人への言及を１，グループへの言及を０)",1
"共起ネットワークでは,最小出現数を15,描画する共起関係を上位50に設定し,共起関係の係数を表示した結果,6つのカテゴリが認められた(図2)。","共起ネットワーク(語の最小出現数=15, 上位=50)",1
"また,頻出語の結びつきを明らかにするために行った共起ネットワーク分析の結果を図11に示す.",共起ネットワーク(),1
"続いて,共起ネットワークによって回答の傾向を見ておく。この結果、図1の図が得られた。",共起ネットワーク(),1
"続いて,これらの語のつながりを共起ネットワークの図により確認しておこう(図2)。",共起ネットワーク(),1
"引き続いて,共起ネットワークで言葉同士の繋がりを確認してみると,図3の通りになる。",共起ネットワーク(),1
"ここまでの分析結果から,キーワード1,キーワード2を用いて共起ネットを描くことで,4名の保育者に共通する語,「子ども(340回)」「人(139回)」「遊び(91回)」「自分(64回)」の関係性が見えてきた(Fig.1)。",共起ネットワーク(),1
"共起ネットワークはJaccard係数で単語間の類似性が算出されるが,今回の分析では,Jaccard係数の最小値は指定せず,単語出現頻度の上位60語についての共起ネットワーク図を作図した(図4)。",共起ネットワーク(上位=60),1
"上記のコーディング規則に従い,「サブグラフ検出(modularity)」を用いて共起ネットワーク図を作成した。なお,同図中にはJaccard係数が0.1以上であった共起関係のみを描画した。","共起ネットワーク(描画する共起関係の選択=Jaccard係数, 係数=0.1, 共起関係の検出方法=サブグラフ検出（modularity）)",1
以上の処理を終えたデータから、受講学生の感想の中で強い結びつきのある語を調べるために、共起ネットワークを作成した。作成条件は、最小出現頻度30語、Jaccard係数の閾値を0.14、最小スパニング・ツリーだけを表示とした。,"共起ネットワーク(語の最小出現数=30, 描画する共起関係の選択=Jaccard係数, 係数=0.14, 最小スパニングツリーだけを描画=on)",1
"犯罪ごとにおける類似性の評価については,最小出現数を10,Jaccard係数0.2以上,強い共起関係ほど濃い線となるように共起ネットワークによる分析をおこなった。","共起ネットワーク(語の最小出現数=10, 描画する共起関係の選択=Jaccard係数, 係数=0.2, 強い共起関係ほど濃い線に=on)",1
図10は共起ネットワークでそれぞれの語の関係性を示している。,共起ネットワーク(),1
樋口(2014)のKHコーダーによる計量テキスト分析を行い、サブグラフ(媒介)検出による共起ネットワークを描いた。,共起ネットワーク(共起関係の検出方法=サブグラフ（媒 介）検出),1
"得られた自由記述文から,共起ネットワーク図を作成し,サブグラフ検出を行なった結果,図4に示す8つのグループを導出することができた.このとき,語の最小出現数を11,描画する共起関係は描画数を60とした.","共起ネットワーク(語の最小出現数=11, 上位=60, 共起関係の検出方法=サブグラフ検出)",1
親子コミュニケーションの変化に関する共起ネットワークの結果は図3に示すとおりである。,共起ネットワーク(),1
"この実践における感想は,KHコーダーを活用し,分析した抽出語の共起ネットワークを図4の通りに示した。",共起ネットワーク(),1
"次に,カテゴリー間の関係構造を把握するために,カテゴリー間でキーワードが共起して出現した段落数を集計し,ネットワークの形で表す共起ネットワークグラフを図2に示す。図2の凡例のCoefcientが示す共起ネットワークグラフのカテゴリー間の関係性を示す紐帯には,キーワード間の共起関係を重視する指標であるJaccard係数を用いた。また,表示する紐帯は係数の高い上位20位までで,その太さは係数の高さを表し,係数が低くなるにつれて細くなるように設定した。","共起ネットワーク(上位=20, 描画する共起関係の選択=Jaccard, 強い共起関係ほど濃い線に=on)",1
"続いて,図1のような抽出語の共起ネットワーク図を作成した(ただし,図中の点線と番号は筆者が付け加えた)。",共起ネットワーク(),1
"次に内容・考察パートに記載された特徴語の客観的把握を目的に5名全員の報告書に関する共起ネットワーク(上位50語)(Figure2)を導出し,keywordincontext(KWIC)も参照しながら後述の6クラスターを抽出,命名した。",共起ネットワーク(上位=50),1
"調査対象の教員らが,p4cに対して最初に抱いた印象についてのインタビューデータを基に,関連が強い語の共起ネットワークを作成した(Figure₁)。",共起ネットワーク(),1
次に、頻出語の最小出現数を3回に設定し、描画する共起関係の絞り込みにおいては、描画数を60に設定して、関連が特に強い語同士を線で結んだ共起ネットワーク注2)を作成した。,"共起ネットワーク(語の最小出現数=3, 上位=60)",1
"自由記述調査については,共起ネットワーク図を作成することで,文中で用いる語と語のつながりを明らかにし,児童のプログラミングに関する意識の分析を行った.共起ネットワークを作成するにあたり,共起しやすい語同士をグループとして見なす,サブグラフ機能を用いることで,それぞれの学級の語の使われ方の特徴を分析しやすく配慮した.",共起ネットワーク(共起関係の検出方法=サブグラフ),1
続いて、用いられ方が類似する語同士をネットワーク図で描く共起ネットワークを用いて分析を行ってみたい。結果は以下の通りである。,共起ネットワーク(),1
"分析対象は,抽出語リストの中から出現頻度上位60語とした.定食型,弁当型の自由記述は,語と語の出現パターンが互いに似ている語の関係性をとらえる手法である,共起ネットワークを用いて分析した.共起ネットワークでは,比較的強くお互いに結びついている部分である中心性を検出し,色合いで表現した(Subgraph検出).各語の出現頻度は,円の大きさで示した(Frequency).語と語の関連性の強さは,下記に示すJaccard係数を算出して,語と語をつなぐ直線上に記した.","共起ネットワーク(上位=60, 描画する共起関係の選択=Jaccard, 共起関係の検出方法=Subgraph 検出, バブルプロット=on, 共起関係の種類=語-語)",1
開発目標とターゲットのすべての語句のうち、使用データのうち出現数3回以上、かつ語句間の「Jaccardの類似性測度0.2≧強い関連がある」(図表3注)の条件で共起ネットワーク図を生成した(図表6)。,"共起ネットワーク(語の最小出現数=3, 描画する共起関係の選択=Jaccard, 係数=0.2)",1
以上の手順を経た後、KHCoderの機能を用いて文中で共起しやすい語によるネットワーク図xixを描画したものが以下の図である。描画時の設定は最小出現数8、Jaccard係数0.3以上、フォントサイズ130%(太字)で、使用した品詞はそれぞれ、普通名詞、依存名詞、代名詞、動詞、形容詞、存在詞、指定詞、副詞、指示詞、補助用言、先語末語尾、連結語尾、動詞派生、形容詞派生、語根、任意指定語である。,"共起ネットワーク(語の最小出現数=8, 描画する共起関係の選択=Jaccard係数, 係数=0.3, 品詞による語の取捨選択=普通名詞、依存名詞・代名詞・動詞・形容詞・存在詞・指定詞・副詞・指示詞・補助用言・先語末語尾・連結語尾・動詞派生・形容詞派生・語根・任意指定語)",1
"図1は,ロボットの教育活用に対する期待に関する共起ネットワーク分析の結果を示したものである。KHCoderの設定は,次の通りである。集計単位は段落,最小出現数は20,Jaccard係数は0.18以上,共起関係の検出方法はサブグラフ検出(媒介)を用いた。その結果,対象語数は8073であった。実線で結ばれた語は5グループであった。","共起ネットワーク(集計単位=段落, 語の最小出現数=20, 描画する共起関係の選択=Jaccard, 係数=0.18, 共起関係の検出方法=サブグラフ検出（媒介）)",1
"KHcoderにより,テキスト・データを読み込み,形態素に分解し,出現頻度5以上の93語を抽出した.これらの抽出後を対象に多次元尺度構成法を適用した結果をFigure1に,共起ネットワーク分析の結果をFigure2にそれぞれ示した.",共起ネットワーク(語の最小出現数=5),1
また、記載内容の関連を視覚的に捉えやすいよう、Jaccard係数0.3の共起ネットワークを作成し分析を行った。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 係数=0.3)",1
群ごとに想起項目をまとめて疑似文章化し、共起ネットワークを用いて比較した。,共起ネットワーク(),1
"回答はテキスト形式化し,KHCoderにてテキストマイニングを行った.共起ネットワークを行い構造化,分類化を行った.",共起ネットワーク(),1
"KHCoderの「共起ネットワーク」を用い,献立の振り返り指導における出現パターンの似通った語(共起の程度が強い語)を線で結んだ図を図6に示す。分析にあたり,出現数による語の取捨選択に関しては最小出現数を3に設定し,線描する共起関係の絞り込みにおいては,描画数を60の設定である。","共起ネットワーク(語の最小出現数=3, 上位=60)",1
"事前,事後の文中から抽出した語の共起性を共起ネットワークから検討した。語の出現数が多いほど円のサイズが大きく描かれている。ここでは,係数を標準化し,頻出語について上位60までとし,かつ最小出現数3以上の語を抽出し共起ネットワークを作成した。なお,図中の数値は,語と語の共起の程度を示したJaccard係数である(図3・図4)。","共起ネットワーク(語の最小出現数=3, 上位=60, 描画する共起関係の選択=Jaccard係数, 係数を標準化する=on, バブルプロット=on)",1
"回答の自由記述については,品詞を限定せず共起関係を測定し,共起ネットワーク図の作成条件を最小出現数10,描画数60とした.","共起ネットワーク(語の最小出現数=10, 上位=60)",1
8人全員の振り返りの内容をKHCoderを用いて作成した抽出語の共起ネットワーク図を図3に示す。,共起ネットワーク(),1
"次に,衣服の系統変化に関する自由記述(Q13)から,KHCoder[17]を用いて共起ネットワークを生成して分析を行った.図5は「(衣服の系統を)これまで変えたいと思ったことはあるが,変えることが出来なかった」と回答した人の共起ネットワーク図である.ここでは出現数が5回以上の単語であり,かつJaccard≧0.15という条件で分析を行っている.","共起ネットワーク(語の最小出現数=5, 描画する共起関係の選択=Jaccard係数, 係数=0.15)",1
"Figure3はCOVID-19×災害時避難に関するWeb記事データをもとに,Jaccard係数を用いて計測した共起ネットワーク図である。また,共起ネットワーク関係を示すために,“modularity""に基づく比較的強く互いに結びついている部分(サブグラフ)を検出する手法により描画した。","共起ネットワーク(描画する共起関係の選択=Jaccard係数, 共起関係の検出方法=“modularity”に基づく比較的強く互いに結びついている部分（サブグラフ）を検出する手法)",1
"Figure5は5つのフェーズを外部変数として設定し,語の共起関係が解釈しやすくなるよう,最小スパニング・ツリー(minimumspanningtree)のみを表示した共起ネットワーク図である。","共起ネットワーク(最小スパニングツリーだけを描画=on, 外部変数=5つのフェーズ)",1
抽出された語の中で、関連が特に強い語同士を表す共起ネットワークを作成する。最小出現語数2に設定、Jaccard係数を0.2とした。,"共起ネットワーク(語の最小出現数=2, 描画する共起関係の選択=Jaccard係数, 係数=0.2)",1
"どのような文書においても出現するパターンが似通っていた語,すなわち,どのような語が同じ文書内に共に出現することが多かったか,を示したのが,図2の共起ネットワーク分析である。",共起ネットワーク(),1
【資料8】は、「KHCoder」を用いて抽出された語句とその共起ネットワークを示している。,共起ネットワーク(),1
次に、共起ネットワーク分析機能を用いて出現した後が、どのような語と共に出現しているのかという関係性を可視化した(Figure1)。,共起ネットワーク(),1
さらに、記載された自由記述を、KHコーダー(樋口2014)を用いて分析し、結果を共起ネットワークとして示したのが図5である。,共起ネットワーク(),1
次に自由記述をテキストデータとして、樋口(2014)によるKHコーダーを用いて共起ネットワークを作成した結果が、図5である。,共起ネットワーク(),1
さらに、自由記述を小・中学校など校種ごとではなく、KHコーダー(樋口2014)を用いて一括して分析し、共起ネットワークで示した結果が図2である。,共起ネットワーク(),1
さらに、自由記述について各校種を一括して分析し、共起ネットワークで示したのが図4である。,共起ネットワーク(),1
①頻出語間の結びつきである共起関係の確認、②共起関係を結んだ各頻出語の出現回数の確認、③共起関係した頻出語のグループ分けを確認するために共起ネットワーク(サブグラフ)分析によって①③を描画した。分析対象語が適切な数になるように最小出現回数を7回、最大出現回数を73回に設定し67語を分析対象とした。Jaccard係数が大きい順に上位50の共起関係を描画した(図1)。,"共起ネットワーク(語の最小出現数=7, 語の最大出現数=73, 描画する共起関係の選択=Jaccard係数, 上位=50, 共起関係の検出方法=サブグラフ)",1
KHCoderを利用して中学校時代の学習方法を共起ネットワークを作成して考察した(図₅)。今回はJaccard係数上位60でサブグラフ検出をmodularityとした(実際にはJaccard係数上位60はJaccard係数の値が0.6以上のものだった)。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 係数=0.6, 上位=60, 共起関係の検出方法=サブグラフ検出を modularity)",1
次に、共起ネットワーク分析では上位40の共起関係について、その特徴を捉えた(図2)。なお、線上に示された数値はJaccard係数であり、共起関係の強さを示している。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 上位=40)",1
KHCoderの共起ネットワーク分析を用いる事によって、抽出語の関係性を描画できる。関連語(Jaccard係数上位70語)の共起ネットワークを描画し、つながりの強い語同士のJaccard係数を算出し、その上位70までをネットワーク図に表示した。加えて、互いに強く結びついている語のまとまりをサブグラフ検出(モジュラリティ:modularityによる方法)機能を用いて、サブグラフを描画した。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 上位=70, 共起関係の検出方法=サブグラフ検出(モジュラリティ:modularityによる方法))",1
KHCoderの共起ネットワーク分析を用いることによって、抽出語の関係性を描写できる。関連語(Jaccard係数上位70語)の共起ネットワークを描写しつながりの強い語同士のJaccard係数を算出し、その上位70までをネットワーク図に表示した。なお、互いに強く結びついている語のまとまりをサブグラフ検出(モジュラリティによる方法)機能を用い、サブグラフを描画した。学生が本授業で何を学んだかを知るために、授業課題別の特徴的な抽出語を共起ネットワークで作成し、その傾向をみた。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 上位=70, 共起関係の検出方法=サブグラフ検出(モジュラリティ:modularityによる方法))",1
"本アンケートの各自由記述項目で得られた回答から,KHCoderでJaccard係数を用いた共起ネットワーク図を作成し,頻出単語同士の関係性を可視化したものを図4に示す.なお,利用する単語は出現数10回以上であり,Jaccard係数が0.15以上のまとまりを示している.","共起ネットワーク(語の最小出現数=10, 描画する共起関係の選択=Jaccard係数, 係数=0.15)",1
"本アンケートの各自由記述項目で得られた回答から,KHCoderでJaccard係数を用いた共起ネットワーク図を作成し,頻出単語同士の関係性を可視化したものを図5に示す.なお,利用する単語は出現数5回以上であり,Jaccard係数が0.15以上のまとまりを示している.","共起ネットワーク(語の最小出現数=5, 描画する共起関係の選択=Jaccard係数, 係数=0.15)",1
"本アンケートの各自由記述項目で得られた回答から,KHCoderでJaccard係数を用いた共起ネットワーク図を作成し,頻出単語同士の関係性を可視化したものを図6に示す.なお,利用する単語は出現数5回以上であり,Jaccard係数が0.15以上のまとまりを示している.","共起ネットワーク(語の最小出現数=5, 描画する共起関係の選択=Jaccard係数, 係数=0.15)",1
"アンケート内の自由記述欄では回答全体の60件中20件で記述回答を得たため,その記述情報について,KHCoderを用いてテキストマイニングにより分析した.その結果が,共起ネットワーク図として図4で示されている.",共起ネットワーク(),1
"感想文から得られた抽出語数は,109であった。このうち,抽出語数の上位約3分の1を占める,出現回数3回以上の32語を用いて共起ネットワークを作成した。共起ネットワークの作成条件は,Jaccard係数の閾値を0.2,最小スパニング・ツリーだけを表示,サブグラフ検出・Randomwalksとした。","共起ネットワーク(語の最小出現数=3, 描画する共起関係の選択=Jaccard係数, 係数=0.2, 最小スパニングツリーだけを描画=on, 共起関係の検出方法=サブグラフ検出・Random walks)",1
"これらを代表とする抽出語同士の結びつき,すなわち語の出現パターンの似通った語(共起の程度が強い語)を探るために,集計単位を文,語の最小出現率を2,描画数を60に設定した共起ネットワークを作成した(図1)。","共起ネットワーク(集計単位=文, 語の最小出現数=2, 上位=60)",1
次に、どの語とどの語とがデータの中で結びついていたのか確認するために共起ネットワークを作成した(図3)。,共起ネットワーク(),1
図1から図4まではそれぞれのサ変名詞のつながりを可視化した共起ネットワーク図である。最小出現数を5回以上、描画する共起関係を描画数60以上とした。,"共起ネットワーク(語の最小出現数=5, 上位=60, 品詞による語の取捨選択=サ変名詞)",1
アンケート調査に対しては共起ネットワーク分析を行った,共起ネットワーク(),1
【学習前】の「「生徒指導」という言葉を使って、文を3つ作ってみましょう」という問いに対して学生が記述した文の中に出現する単語をネットワーク図にした(図3)。,共起ネットワーク(),1
第9回講義を受けて、学生が受け止めた自立活動のイメージに関する共起ネットワーク図を図4に示した。,共起ネットワーク(),1
図ー6はKHcoderによる語の共起関係を視覚的に表現するため、共起ネットワーク図を作成したものである。図は、共起ネットワーク図を視覚的に判読できるように、Jaccard係数が0.15以上を表示したものである。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 係数=0.15)",1
"また,教員の地域連携に対する期待や不安の自由記述を,KHCoderでテキストマイニング分析をし,以下のような共起ネットワークを作成した(次項図9,10)。",共起ネットワーク(),1
この時の2019年と2020年の自由記述の内容をKHcoderで分析し、共起ネットワークの結果をFigure2とFigure3に示した。,共起ネットワーク(),1
図5は、共起ネットワークにより語どうしの関係性を示したものであり、円の大きさは頻度を示す。,共起ネットワーク(バブルプロット=on),1
"「失敗経験」の内容についてKHcoder(樋口,2014)の共起ネットワーク分析を行なった。解釈可能性の観点から分析設定は、ひらがなのみの名詞・動詞・形容詞・副詞・否定助動詞・形容詞(非自立)は削除、出現数は10以上の語を分析対象とし、Jaccard係数が上位50の共起関係を描画した。","共起ネットワーク(語の最小出現数=10, 描画する共起関係の選択=Jaccard係数, 上位=50, 品詞による語の取捨選択=ひらがなのみの名詞・動詞・形容詞・副詞・否定助動詞・形容詞(非自立)は削除)",1
1-6の共起ネットワーク図は図1の通りである。,共起ネットワーク(),1
"データの頻出語を用いて共起ネットワーク分析を実施し,共起ネットワーク図を作成した。",共起ネットワーク(),1
"KHCoder3を用いて論題を対象として頻出語を抽出し,そこから各語の共起関係を探った。頻出語については,対象とする論題が94編で少ないため出現回数は2回までとした。表示上で見やすくするため「共起関係(edge)の選択は係数0.2以上とし,強い共起関係ほど濃い線になる設定にした。","共起ネットワーク(語の最大出現数=2, 係数=0.2, 強い共起関係ほど濃い線に=on)",1
達成されたカリキュラムを分析するため、学生2名に「自分がインターンシップ研究を通して何を学んだか」半構造化インタビューを行い、KHCorderを利用して共起ネットワークを作成し、質的分析を行った。距離(共起関係edge)はJaccard係数を指標として計測をした。結果は図1の通りである。共起関係edgeの強弱はedgeの濃淡とでJaccard係数で示している。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 強い共起関係ほど濃い線に=on)",1
本研究での解析結果としての共起ネットワークでは、出現数の多い語ほど大きいノード(頂点)で描画されること、共起関係が強いほど太いエッジ(線)で描画されること、ブルーから濃いピンクになるほど媒介中心性の高いノードであることを表す。図1はキーワードから析出された共起ネットワークである。,"共起ネットワーク(強い共起関係ほど濃い線に=on, バブルプロット=on)",1
保護者の記述内容を、KHcoderの共起ネットワーク【サブグラフ検出(中心性媒介)】を用いて分析した。,共起ネットワーク(共起関係の検出方法=サブグラフ検出(中心性媒介)),1
"各活動の自由記述から抽出された単語が,どのような関係で結ばれているかを明らかにするために,KHCoder(樋口,2020)を用いて共起ネットワーク図を作成した。各活動の共起ネットワーク図については,図1から図3の示す通りである。また,図中の太線は共起関係の強さを示し,円の大きさは出現頻度を示している。各活動の共起ネットワーク図については,図1から図3の示す通りである。","共起ネットワーク(強い共起関係ほど濃い線に=on, バブルプロット=on)",1
次に、語彙頻度だけでなく、語彙の出現パターンの似通った語彙の組み合わせにどのようなものがあったのかを探索するために、共起ネットワーク図(上位70)を作成し、テゴリーを生成した。,共起ネットワーク(上位= 70),1
高齢者福祉施設におけるケアプランの長期目標に関する共起ネットワークを図2に示した。,共起ネットワーク(),1
なお、円の大きさは出現回数が多さを意味する。また、語と語が線で結ばれているかどうかが関連の有無を表し、線の太さが関連の強さを表す。まずは図1に計画段階の共起ネットワークを示した。,"共起ネットワーク(強い共起関係ほど濃い線に=on, バブルプロット=on, 共起関係の種類=語-語)",1
"研修会終了後に,受講者計253名を対象として選択式および自由記述式の項目からなるアンケート調査を実施し,回答の得られた213名(解析率84.2%)のアンケートの自由記述で用いられた語句が,どのような関係で使用されているのかを視覚的に捉えるために,KHCoderを用いて共起ネットワーク分析を行った.自由記述は,化学構造式研修会の内容で「理解できたこと」および「理解できなかったこと」に関してそれぞれ回答させた7).茶筌を用いた形態素解析により得られた抽出語(表2)についてそれぞれ共起ネットワーク分析を行い,出現回数の多い抽出語ほど大きい円で描画するバブルプロットで描画した(図2)",共起ネットワーク(バブルプロット=on),1
